OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log
25568.0,NonResidential,Small- and Mid-Sized Office,1341 N Northlake Way,LAKE UNION,47.64747,-122.34086,2008,1.0,4.0,48350.0,0.0,48350.0,Office,Office,98210.489089541,Parking,11745.0,45.0,0.0,928526.0,0.0,22.09,3.139399623366404
302.0,NonResidential,Other,Readiness Center - Pier 91,MAGNOLIA / QUEEN ANNE,47.63965,-122.3783,1973,1.0,1.0,76086.0,0.0,76086.0,Other,Other,77810.0,Parking,11745.0,73.0,0.0,458196.3125,17041.97852,101.41,4.628984364087346
23971.0,NonResidential,Refrigerated Warehouse,2415 Airport Way South,GREATER DUWAMISH,47.58118,-122.32211,1955,1.0,1.0,25375.0,0.0,25375.0,"Office, Refrigerated Warehouse",Refrigerated Warehouse,23419.0,Office,2266.0,73.0,0.0,1192643.875,0.0,28.37,3.379973745210529
24484.0,NonResidential,Worship Facility,7050 35th NE,NORTHEAST,47.68061,-122.29002,1950,1.0,2.0,21038.2,0.0,20804.25,Worship Facility,Worship Facility,20385.0,Parking,11745.0,65.0,0.0,61659.141209,6154.339844,34.04,3.5564902660681907
829.0,NonResidential,Other,3131 Western Ave.,MAGNOLIA / QUEEN ANNE,47.61915,-122.35871,1928,1.0,4.0,62600.0,0.0,62600.0,Other,Other,215197.0,Parking,11745.0,73.0,0.0,1181456.0,65448.83886650005,406.04,6.008911460711703
232.0,NonResidential,Hotel,1150 Fairview Ave N,LAKE UNION,47.62972,-122.32906,1998,1.0,5.0,123920.0,30000.0,93920.0,"Hotel, Parking, Swimming Pool",Hotel,123920.0,Parking,30000.0,79.0,0.0,1195550.25,52939.60938,309.6,5.738505910714586
20440.0,NonResidential,Small- and Mid-Sized Office,4600 37th Ave S.W.,SOUTHWEST,47.56175,-122.3783225,1981,1.0,3.0,43387.0,0.0,43387.0,Office,Office,45000.0,Parking,11745.0,60.0,0.0,689505.8125,3341.709961,34.15,3.5596246182566738
21964.0,NonResidential,Worship Facility,2004 NW 63RD ST,BALLARD,47.67477,-122.3783225,1910,1.0,2.0,21765.0,0.0,21765.0,Worship Facility,Worship Facility,21765.0,Parking,11745.0,80.0,0.0,61659.141209,3114.68335,17.38,2.911263116927541
324.0,NonResidential,Large Office,2401 Fourth Avenue,DOWNTOWN,47.61619,-122.34599,1978,1.0,12.0,234000.0,21790.0,212210.0,"Financial Office, Laboratory, Office, Parking",Office,173786.0,Laboratory,29865.0,39.0,0.0,5347641.0,4154.516113,149.27,5.012433676037635
21388.0,NonResidential,Warehouse,4259 8th Avenue NW,BALLARD,47.65907,-122.36783,1950,1.0,1.0,27553.0,0.0,27553.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,27553.0,Parking,11745.0,63.0,0.0,125320.0,5390.851074,31.61,3.484618989801228
415.0,NonResidential,Large Office,1501 4th Ave,DOWNTOWN,47.61022,-122.33745,1985,1.0,12.450000000000045,399875.050000001,88607.50000000001,339128.9,"Bank Branch, Office, Other, Parking, Restaurant",Office,339005.65000000026,Parking,95742.6500000001,72.0,519390.0,6551398.275000007,65448.83886650005,564.2850000000001,6.3373279806556635
429.0,NonResidential,Large Office,1932 1st Avenue,DOWNTOWN,47.61108,-122.34217,1923,1.0,11.0,102846.0,0.0,102846.0,"Office, Retail Store",Office,93879.0,Retail Store,7500.0,96.0,845964.4437500031,541139.6875,0.0,281.55,5.6438555260758525
27704.0,NonResidential,K-12 School,12351 8th Ave NE,North,47.707374,-122.32171,1988,1.0,2.0,32961.0,0.0,32961.0,K-12 School,K-12 School,32961.0,Parking,11745.0,86.0,0.0,130908.2031,11264.95996,62.94,4.157945143631696
564.0,NonResidential,Small- and Mid-Sized Office,900 Poplar Pl S.,GREATER DUWAMISH,47.59388,-122.31124,1970,1.0,1.0,65430.0,0.0,65430.0,"Office, Other",Office,60732.0,Other,8142.0,89.0,0.0,499939.4063,14752.51953,90.24,4.5134933974161875
197.0,NonResidential,Retail Store,401 NE Northgate Way,NORTH,47.70619,-122.32586,1965,1.0,4.0,124342.0,0.0,124342.0,Retail Store,Retail Store,122000.0,Parking,11745.0,76.0,0.0,2536231.25,1123.560059,66.3,4.209160236650682
24359.0,NonResidential,Small- and Mid-Sized Office,1401 East Jeffrson Street,CENTRAL,47.60592,-122.31367,1984,1.0,5.0,72613.0,22788.0,49825.0,"Office, Parking",Office,49825.0,Parking,22788.0,84.0,0.0,611376.5,5161.969727,41.96,3.7602694502006093
330.0,NonResidential,Small- and Mid-Sized Office,603 Stewart Street,DOWNTOWN,47.61356,-122.33665,1926,1.0,10.0,63409.0,7757.0,55652.0,"Office, Retail Store",Office,45260.0,Retail Store,6187.0,90.0,845964.4437500031,397961.5938,0.0,170.51,5.144641573943989
21150.0,NonResidential,Worship Facility,58 W Dravus,MAGNOLIA / QUEEN ANNE,47.64905,-122.36055,1949,1.0,3.0,62000.0,0.0,62000.0,"Other, Worship Facility",Worship Facility,57200.0,Other,5000.0,81.0,0.0,84104.70313,15126.9873,82.34,4.422928625994308
377.0,NonResidential,Large Office,521 Wall Street,DOWNTOWN,47.61734,-122.34434,1947,1.0,3.0,192630.0,48512.0,144118.0,"Office, Parking",Office,146157.0,Parking,48199.0,94.0,0.0,1515135.25,1881.909668,46.03,3.8507856959569566
41928.0,NonResidential,Supermarket / Grocery Store,12318 15th Ave NE,NORTH,47.707374,-122.312,2009,1.0,1.0,51400.0,0.0,51400.0,"Parking, Supermarket/Grocery Store",Supermarket/Grocery Store,51841.0,Parking,583.3999999999996,74.0,0.0,2019099.75,48137.89844,303.69,5.71929486628671
34908.0,NonResidential,Supermarket / Grocery Store,509-23 BROADWAY E,EAST,47.62256,-122.32092,1950,1.0,2.0,66497.0,0.0,66497.0,Supermarket/Grocery Store,Supermarket/Grocery Store,66497.0,Parking,11745.0,84.0,0.0,2676731.75,1572.034546,72.02,4.29073337622749
24018.0,NonResidential,K-12 School,4200 Mead St.,SOUTHEAST,47.55095,-122.28841249999999,1912,1.0,2.0,42252.0,0.0,42252.0,K-12 School,K-12 School,42252.0,Parking,11745.0,49.0,0.0,93303.20313,18854.07813,102.35,4.638121286127777
26596.0,NonResidential,Small- and Mid-Sized Office,164 s washington  st,DOWNTOWN,47.6011,-122.33197,1906,1.0,1.0,21038.2,0.0,20880.0,Office,Office,20880.0,Parking,11745.0,94.0,0.0,200256.0938,0.0,4.76,1.7509374747078
