OSEBuildingID,BuildingType,PrimaryPropertyType,Address,Neighborhood,Latitude,Longitude,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SteamUse(kBtu),Electricity(kWh),NaturalGas(therms),TotalGHGEmissions,TotalGHGEmissions_log,GFA_per_floor,Parking_ratio,Building_age_squared,Is_old_building,Size_floors,Age_size,Age_floors,GFA_sqrt,Floors_squared,Neighborhood_mean,Neighborhood_std,PrimaryPropertyType_mean,PrimaryPropertyType_std
24012.0,SPS-District K-12,K-12 School,723 S. Concord St.,GREATER DUWAMISH,47.537451,-122.32469,K-12 School,K-12 School,64493.0,Parking,11745.0,85.0,0.0,489828.3125,3184.696045,28.57,3.3867603338643857,32246.48387675806,0.0,256,0,128986.0,1031888.0,32.0,253.95472037353431,4.0,3.5021939623231493,1.2671561408877454,4.017308587795052,1.0064545144201091
25711.0,NonResidential,Restaurant,614 S MAYNARD AVE S,DOWNTOWN,47.59697,-122.32474,Restaurant,Office,98210.489089541,Parking,11745.0,73.0,0.0,118085.2969,4970.169922,29.21,3.4081729953985804,9599.996800001067,0.0,10609,1,86400.0,2966400.0,309.0,169.7056274847714,9.0,4.33905242153749,1.3718571608439065,4.6450587747303285,1.1109430111959286
717.0,Nonresidential COS,Warehouse,2203 Airport Way S,GREATER DUWAMISH,47.5829,-122.32417,"Non-Refrigerated Warehouse, Office, Other",Non-Refrigerated Warehouse,101633.0,Office,48544.0,51.0,0.0,2069794.125,13223.84766,119.46,4.791317747615575,72578.96371051815,0.0,961,0,290316.0,4499898.0,62.0,380.9960629717845,4.0,3.5021939623231493,1.2671561408877454,3.105404464515096,1.1998106393931918
123.65,NonResidential,Mixed Use Property,921 Terry Ave.,EAST,47.60845,-122.32637,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,Parking,20868.0,73.0,845964.4437500031,2973421.25,0.0,481.97,6.179954539922313,16629.997228333796,0.09361595510028448,1089,0,598680.0,3292740.0,198.0,315.8797239456816,36.0,4.224068175692096,1.3596665755260893,4.02240740070352,1.4535352529774157
123.65,Nonresidential COS,Other,1000 Fourth Avenue,DOWNTOWN,47.60649,-122.33297,"Data Center, Library, Parking",Library,339005.65000000026,Parking,49000.0,73.0,737559.5,5231916.0,0.0,181.38,5.206092422505519,36352.27396797518,0.1425445273463731,144,0,4398625.550000011,4798500.600000012,132.0,632.3567426698327,121.0,4.33905242153749,1.3718571608439065,4.282175547469136,1.3053288873026805
24172.0,NonResidential,Retail Store,9801 Lake City Way NE,NORTH,47.70053,-122.3038,Retail Store,Retail Store,20738.0,Parking,11745.0,44.0,0.0,154382.4063,0.0,3.67,1.541159071680806,10519.094740452629,0.0,3364,1,42076.4,1220215.6,116.0,145.04551009941673,4.0,3.599443475627612,1.2975374912774322,3.744426120780442,1.2589650944883464
23161.0,NonResidential,Small- and Mid-Sized Office,606 12th Ave S,DOWNTOWN,47.59721,-122.31838,Office,Office,43813.0,Parking,11745.0,73.0,0.0,150788.7031,7539.680176,43.63,3.7984062786411785,45144.95485504515,0.0,784,0,45145.0,1264060.0,28.0,212.47352776287215,1.0,4.33905242153749,1.3718571608439065,3.297269669658814,0.9073490338149458
680.0,NonResidential,Small- and Mid-Sized Office,800 Maynard Ave S,GREATER DUWAMISH,47.59554,-122.32471,Office,Office,72000.0,Parking,11745.0,89.0,0.0,771568.375,965.7600098,23.48,3.197856457644125,17999.995500001125,0.0,8281,1,288000.0,6552000.0,364.0,268.32815729997475,16.0,3.5021939623231493,1.2671561408877454,3.297269669658814,0.9073490338149458
540.0,NonResidential,Warehouse,6136 6th Ave S,GREATER DUWAMISH,47.54769,-122.3251,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,22780.0,Parking,11745.0,33.0,0.0,117834.5,0.0,3.5705,1.5195508068830703,22779.97722002278,0.0,2500,0,22780.0,1139000.0,50.0,150.93044755780724,1.0,3.5021939623231493,1.2671561408877454,3.105404464515096,1.1998106393931918
313.0,NonResidential,Medical Office,201 Elliott Avenue West,MAGNOLIA / QUEEN ANNE,47.61972,-122.36033,"Medical Office, Office",Medical Office,146741.0,Office,9805.0,14.0,0.0,5493974.5,65448.83886650005,564.2850000000001,6.337327980655664,37999.992400001516,0.2052631578936565,7921,1,950000.0,16910000.0,445.0,435.88989435406734,25.0,3.935323358003718,1.285361666288839,4.557738771436541,1.3455760875549025
