Métrique,Modèle 1 (Sans ENERGY STAR),Modèle 2 (Avec ENERGY STAR),Gain
CV R² Mean,0.7066874319314872,0.7352751379355503,0.02858770600406313
CV R² Std,0.02075782147652434,0.016473470416461605,-0.004284351060062735
Test R² (validation),0.650878118317574,0.6832787451825679,0.0324006268649939
RMSE (log),0.7607923706738192,0.7246298474916945,-0.03616252318212476
MAE (log),0.5823303193133348,0.5506455096150865,-0.03168480969824827
